29617,0117000270
29618,0117000269
29619,0119000001
29620,0119000002
29621,0119000003
29622,0119000004
29623,0119000005
29624,0119000006
29625,0119000007
29626,0119000008
29627,0119000009
29628,0305000001
29629,0205000001
29630,0205000002
29631,0205000004
29632,0120000002
29633,0205000006
29634,0205000017
29635,0205000094
29636,0205000095
29637,0205000110
29638,0205000112
29639,0205000113
29640,0205000115
29641,0205000116
29642,0205000117
29643,0205000118
29644,0205000120
29645,0205000122
29646,0205000123
29647,0205000125
29648,0802000001
29649,0802000002
29650,0802000003
29651,0802000004
29652,0802000005
29653,0802000006
29654,0802000007
29655,0205000128
29656,0205000129
29657,0205000130
29658,0205000133
29659,0205000134
29660,0205000135
29661,0205000136
29662,0205000138
29663,0205000139
29664,0205000141
29665,0205000142
29666,0205000144
29667,0205000159
29668,0205000160
29669,0205000166
29670,0205000168
29671,0202000065
29672,0205000169
29673,0205000181
29674,0205000186
29675,0205000187
29676,0205000188
29677,0205000189
29678,0205000190
29679,0205000195
29680,0205000196
29681,0205000198
29682,0205000199
29683,0205000200
29684,0205000203
29685,0205000204
29686,0205000215
29687,0205000218
29688,0205000219
29689,0205000222
29690,0205000244
29691,0205000248
29692,0205000254
29693,0205000255
29694,0205000257
29695,0205000267
29697,0205000273
29698,0205000275
29699,0205000277
29700,0205000279
29701,0205000280
29703,0205000283
29704,0205000295
29705,0205000300
29706,0205000302
29707,0205000319
29708,0205000323
29709,0205000325
29710,0205000327
29711,0205000328
29712,0205000331
29713,0205000357
29714,0205000358
29715,0205000359
29716,0901000185
29717,0901000186
29719,0901000188
29720,0901000189
29721,0901000191
29722,0901000192
29723,0901000193
29724,0901000194
29725,0901000195
29726,0901000196
29727,0901000197
29728,0901000198
29729,0901000199
29730,0901000200
29731,0901000201
29732,0901000202
29733,0901000203
29734,0901000204
29735,0901000205
29736,0901000206
29737,0901000207
29738,0901000208
29739,0901000209
29740,0901000210
29741,0901000211
29742,0901000212
29743,0901000213
29744,0901000214
29745,0901000215
29746,0901000216
29747,0901000217
29748,0901000218
29749,0120000032
29750,0120000033
29751,0102000141
29752,0108000234
29753,0108000235
29754,0108000236
29755,0108000237
29756,0108000238
