12260,0120000204,14,
12260,0120000204,14,
12262,0120000206,5,
12262,0120000206,5,
12264,0120000208,0,
12264,0120000208,0,
12266,0120000210,7,
12266,0120000210,7,
12268,0120000212,5,
12268,0120000212,5,
12274,0120000218,2,
12274,0120000218,2,
12279,0120000223,23,
12279,0120000223,23,
12284,0120000228,1,
12284,0120000228,1,
12286,0120000230,5,
12286,0120000230,5,
12292,0120000236,1,
12292,0120000236,1,
12294,0120000238,9,
12294,0120000238,9,
12301,0120000245,1,
12301,0120000245,1,
12322,0120000266,0,
12324,0120000268,3,
12326,0120000270,5,
12328,0120000272,7,
12330,0120000274,10,
12332,0120000276,0,
12347,0120000291,5,
12701,0303000017,,
19554,0201000478,,
19555,0201000479,,
19557,0201000481,,
19559,0201000482,,
19560,0201000483,,
19563,0201000486,,
19564,0201000487,,
19570,0201000499,,
19602,0201000534,,
19603,0201000535,,
19638,0201000570,,
19654,0201000586,,
19661,0201000593,,
19662,0201000594,,
19664,0201000596,,
19665,0201000597,,
19666,0201000598,,
19667,0201000599,,
19668,0201000600,,
19669,0201000601,,
19670,0201000602,,
19671,0201000603,,
19672,0201000604,,
19673,0201000605,,
19674,0201000606,,
19675,0201000607,,
19676,0201000608,,
19677,0201000609,,
19678,0201000610,,
19679,0201000611,,
19680,0201000612,,
19681,0201000613,,
19682,0201000614,,
19691,0201000623,,
19698,0201000630,,
19699,0201000631,,
19700,0201000632,,
19701,0201000633,,
19702,0201000634,,
19705,0201000637,,
19713,0201000645,,
19733,0201000665,,
19734,0201000666,,
19735,0201000667,,
19738,0201000670,,
19739,0201000671,,
19760,0201000692,,
19761,0201000693,,
19763,0201000695,,
19764,0201000696,,
19765,0201000697,,
19767,0201000699,,
19768,0201000700,,
19769,0201000701,,
19770,0201000702,,
19771,0201000703,,
19772,0201000704,,
19773,0201000705,,
19774,0201000706,,
19775,0201000707,,
19802,0201000733,,
19810,0201000741,,
19812,0201000742,,
19814,0201000744,,
19815,0201000745,,
19816,0201000746,,
19817,0201000747,,
19818,0201000748,,
19821,0201000751,,
19822,0201000752,,
19823,0201000753,,
19824,0201000754,,
19825,0201000755,,
19826,0201000756,,
19827,0201000757,,
19830,0201000760,,
19833,0201000763,,
19834,0201000764,,
19835,0201000765,,
19836,0201000766,,
19837,0201000767,,
