19802,0201000733,,
27656,0201000979,,
43489,0106000148,0,
43807,0902000543,6,
44449,0910000416,0,
27605,0201000928,,
19856,0201000786,,
44364,0802000286,0,
19892,0201000822,,
44355,0115000296,8,
44260,0120000789,11,
27660,0201000983,,
19676,0201000608,,
27607,0201000930,,
27649,0201000972,,
44198,0120000727,2,
43490,0106000145,0,
12326,0120000270,5,
43476,0106000133,0,
27618,0201000941,,
44287,0120000795,12,
44472,0117000757,,
27604,0201000927,,
27658,0201000981,,
27687,0201001010,,
27635,0201000958,,
27643,0201000966,,
19894,0201000824,,
44259,0120000788,5,
44362,0602000067,0,
43461,0115000232,2,
43802,0902000538,1,
19700,0201000632,,
44361,0602000066,0,
43479,0106000136,1,
12266,0120000210,7,
27680,0201001003,,
43452,0115000223,3,
19739,0201000671,,
27706,0201001029,,
27685,0201001008,,
27681,0201001004,,
27682,0201001005,,
19654,0201000586,,
19863,0201000793,,
27645,0201000968,,
19816,0201000746,,
27693,0201001016,,
12279,0120000223,23,
19679,0201000611,,
12347,0120000291,5,
27679,0201001002,,
19768,0201000700,,
44453,0910000420,1,
12262,0120000206,5,
44253,0120000782,12,
27637,0201000960,,
27665,0201000988,,
27617,0201000940,,
27642,0201000965,,
44359,0602000064,0,
27636,0201000959,,
27666,0201000989,,
27659,0201000982,,
19885,0201000815,,
44368,0602000072,3,
12324,0120000268,3,
44370,0115000300,0,
43481,0106000138,0,
19870,0201000800,,
19896,0201000826,,
44444,0910000410,3,
12332,0120000276,0,
27683,0201001006,,
42513,0201001163,,
27606,0201000929,,
19817,0201000747,,
27653,0201000976,,
44195,0120000724,14,
19555,0201000479,,
19673,0201000605,,
20983,0120000481,2,
43462,0115000233,3,
19773,0201000705,,
27697,0201001020,,
27686,0201001009,,
19557,0201000481,,
19563,0201000486,,
27616,0201000939,,
19830,0201000760,,
27610,0201000933,,
20987,0120000485,4,
44366,0602000070,6,
44446,0910000412,47,
12274,0120000218,2,
27628,0201000951,,
44252,0120000781,8,
19698,0201000630,,
19855,0201000785,,
27661,0201000984,,
43805,0902000541,98,
43561,0102000253,,a:0:{}
27612,0201000935,,
43475,0106000132,0,
44239,0120000768,1,a:0:{}
19903,0201000833,,
19901,0201000831,,
12328,0120000272,7,
43438,0107000058,0,
44300,0120000798,1,
27695,0201001018,,
19821,0201000751,,
43466,0115000237,2,
19825,0201000755,,
27744,0201001067,,
19886,0201000816,,
27704,0201001027,,
19735,0201000667,,
19867,0201000797,,
44445,0910000411,5,
19570,0201000499,,
19879,0201000809,,
27698,0201001021,,
19844,0201000774,,
19559,0201000482,,
43894,0910000404,0,
19814,0201000744,,
19880,0201000810,,
19674,0201000606,,
43449,0115000220,3,
19764,0201000696,,
27648,0201000971,,
19675,0201000607,,
19846,0201000776,,
19873,0201000803,,
27668,0201000991,,
19823,0201000753,,
19775,0201000707,,
12292,0120000236,1,
19770,0201000702,,
43453,0115000224,2,
27626,0201000949,,
43473,0106000130,0,
43804,0902000540,0,
44452,0910000419,1,
27644,0201000967,,
27707,0201001030,,
19705,0201000637,,
27672,0201000995,,
27621,0201000944,,
43459,0115000230,0,
19680,0201000612,,
43472,0106000146,0,
27664,0201000987,,
43796,0902000532,7,
27742,0201001065,,
19667,0201000599,,
27671,0201000994,,
27678,0201001001,,
43803,0902000539,1,
27600,0201000923,,
43611,0109000102,25,
19602,0201000534,,
19810,0201000741,,
20985,0120000483,2,
44357,0115000298,0,
19858,0201000788,,
19734,0201000666,,
27631,0201000954,,
19765,0201000697,,
19668,0201000600,,
43795,0902000531,6,
19733,0201000665,,
19822,0201000752,,
27662,0201000985,,
19869,0201000799,,
27646,0201000969,,
19836,0201000766,,
27651,0201000974,,
12286,0120000230,5,
19554,0201000478,,
19866,0201000796,,
19868,0201000798,,
27639,0201000962,,
19664,0201000596,,
27702,0201001025,,
44258,0120000787,4,
19845,0201000775,,
43710,0118000072,0,
27609,0201000932,,
19834,0201000764,,
12330,0120000274,10,
27743,0201001066,,
19824,0201000754,,
27700,0201001023,,
27654,0201000977,,
44244,0120000773,3,
19895,0201000825,,
43460,0115000231,2,
27615,0201000938,,
27696,0201001019,,
27709,0201001032,,
27641,0201000964,,
43201,0109000100,66,
43469,0115000240,3,
44451,0910000418,17,
27608,0201000931,,
44448,0910000415,6,
27663,0201000986,,
44256,0120000785,9,
19767,0201000699,,
19713,0201000645,,
27708,0201001031,,
27619,0201000942,,
44358,0601000024,0,
27701,0201001024,,
43883,0910000393,1,a:0:{}
44360,0602000065,0,
19902,0201000832,,
19603,0201000535,,
19666,0201000598,,
27669,0201000992,,
27684,0201001007,,
12260,0120000204,14,
27699,0201001022,,
27627,0201000950,,
19560,0201000483,,
27650,0201000973,,
43801,0902000537,32,
19774,0201000706,,
44185,0120000714,1,a:0:{}
27657,0201000980,,
12301,0120000245,1,
