ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
12167,simple,120000111,BOQUILLA CHICA N 743 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO CURVO</div>\n</div>",,,taxable,,1,8,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-743-PARPEN-X1-0120000111.png,,,,,,,,,0
12168,simple,120000112,BOQUILLA CHICA N 75 PARPEN X1,1,0,visible,,<div><div>FORMA ESPECIAL</div></div>,,,taxable,,1,48,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-75-parpen-0120000112-1.jpg,,,,,,,,,0
12169,simple,120000113,BOQUILLA CHICA N 76 PARPEN X1,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,47,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-76-parpen-0120000113-1.jpg,,,,,,,,,0
12170,simple,120000114,BOQUILLA CHICA N 79 PARPEN X1,1,0,visible,,<div><div>PETALO</div></div>,,,taxable,,1,34,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-79-parpen-0120000114-1.jpg,,,,,,,,,0
12171,simple,120000115,BOQUILLA CHICA N 80 PARPEN X1,1,0,visible,,<div><div>REDONDO</div></div>,,,taxable,,1,33,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-80-parpen-0120000115-1.jpg,,,,,,,,,0
12172,simple,120000116,BOQUILLA CHICA N 801 PARPEN X1,1,0,visible,,<div><div>FLOR</div></div>,,,taxable,,1,96,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-801-parpen-0120000116-1.jpg,,,,,,,,,0
12173,simple,120000117,BOQUILLA CHICA N 81 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO RECTO</div>\n</div>",,,taxable,,1,51,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-81-PARPEN-X1-0120000117.png,,,,,,,,,0
12174,simple,120000118,BOQUILLA CHICA N 82 PARPEN X1,1,0,visible,,<div><div>RIZADO CURVO</div></div>,,,taxable,,1,37,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-82-parpen-0120000118-1.jpg,,,,,,,,,0
12175,simple,120000119,BOQUILLA CHICA N 84E PARPEN X1,1,0,visible,,"<div>\n<div>FORMA ESPECIAL</div>\n</div>",,,taxable,,1,94,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-84E-PARPEN-X1-0120000119-1.png,,,,,,,,,0
12176,simple,120000120,BOQUILLA CHICA N 86 PARPEN X1,1,0,visible,,<div><div>HOJA</div></div>,,,taxable,,1,103,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-86-parpen-0120000120-1.jpg,,,,,,,,,0
12177,simple,120000121,BOQUILLA CHICA N 88 PARPEN X1,1,0,visible,,<div><div>BORDURA-VOLADO</div></div>,,,taxable,,1,40,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-88-parpen-0120000121-1.jpg,,,,,,,,,0
12178,simple,120000122,BOQUILLA CHICA N 89 PARPEN X1,1,0,visible,,"<div>\n<div>FORMA ESPECIAL</div>\n</div>",,,taxable,,1,43,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-89-PARPEN-X1-0120000122.png,,,,,,,,,0
12179,simple,120000123,BOQUILLA CHICA N 90 PARPEN X1,1,0,visible,,"<div>\n<div>REDONDO</div>\n</div>",,,taxable,,1,69,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-90-PARPEN-X1-0120000123.png,,,,,,,,,0
12180,simple,120000124,BOQUILLA CHICA N 91 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO RECTO</div>\n</div>",,,taxable,,1,215,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-91-PARPEN-X1-0120000124.png,,,,,,,,,0
12181,simple,120000125,BOQUILLA CHICA N 92 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO CURVO</div>\n</div>",,,taxable,,1,30,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-92-PARPEN-X1-0120000125.png,,,,,,,,,0
12182,simple,120000126,BOQUILLA CHICA N 97 PARPEN X1,1,0,visible,,<div><div>PETALO</div></div>,,,taxable,,1,241,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-97-parpen-0120000126-1.jpg,,,,,,,,,0
12183,simple,120000127,BOQUILLA CHICA N 98 PARPEN X1,1,0,visible,,<div><div>FORMA ESPECIAL</div></div>,,,taxable,,1,11,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-98-parpen-0120000127-1.jpg,,,,,,,,,0
12184,simple,120000128,BOQUILLA CHICA N E1 PARPEN X1,1,0,visible,,"<div>\n<div>GEOMETRICO</div>\n</div>",,,taxable,,1,17,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-E1-PARPEN-X1-0120000128.png,,,,,,,,,0
12185,simple,120000129,BOQUILLA CHICA N E2 PARPEN X1,1,0,visible,,"<div>\n<div>GEOMETRICO</div>\n</div>",,,taxable,,1,24,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-E2-PARPEN-X1-0120000129.png,,,,,,,,,0
12186,simple,120000130,BOQUILLA CHICA N E3 PARPEN X1,1,0,visible,,"<div>\n<div>GEOMETRICO</div>\n</div>",,,taxable,,1,23,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-E3-PARPEN-X1-0120000130.png,,,,,,,,,0
12187,simple,120000131,BOQUILLA CHICA N E4 PARPEN X1,1,0,visible,,"<div>\n<div>GEOMETRICO</div>\n</div>",,,taxable,,1,22,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2023/08/BOQUILLA-CHICA-N-E4-PARPEN-X1-0120000131.png,,,,,,,,,0
12188,simple,120000132,BOQUILLA CHICA N E5 PARPEN X1,1,0,visible,,<div><div>GEOMETRICO</div></div>,,,taxable,,1,8,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-e-5-parpen-0120000132-1.jpg,,,,,,,,,0
12189,simple,120000133,BOQUILLA CHICA N E6 PARPEN X1,1,0,visible,,<div><div>GEOMETRICO</div></div>,,,taxable,,1,28,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-e-6-parpen-0120000133-1.jpg,,,,,,,,,0
12190,simple,120000134,BOQUILLA CHICA N E7 PARPEN X1,1,0,visible,,<div><div>FLOR</div></div>,,,taxable,,1,44,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-e-7-parpen-0120000134-1.jpg,,,,,,,,,0
12191,simple,120000135,BOQUILLA CHICA N E8 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO CURVO</div>\n</div>",,,taxable,,1,116,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-E8-PARPEN-X1-0120000135.png,,,,,,,,,0
12192,simple,120000136,BOQUILLA CHICA N PA1 PARPEN X1,1,0,visible,,<div><div>BORDURA-VOLADO</div></div>,,,taxable,,1,19,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-p-a1-parpen-0120000136-1.jpg,,,,,,,,,0
12193,simple,120000137,BOQUILLA CHICA N PA2 PARPEN X1,1,0,visible,,"<div>\n<div>BORDURA-VOLADO</div>\n</div>",,,taxable,,1,25,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-PA2-PARPEN-X1-0120000137.png,,,,,,,,,0
12194,simple,120000138,BOQUILLA CHICA N PA3 PARPEN X1,1,0,visible,,<div><div>FLOR</div></div>,,,taxable,,1,34,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-p-a3-parpen-0120000138-1.jpg,,,,,,,,,0
12195,simple,120000139,BOQUILLA CHICA N PA4 PARPEN X1,1,0,visible,,"<div>\n<div>FLOR</div>\n</div>",,,taxable,,1,63,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-PA4-PARPEN-X1-0120000139.png,,,,,,,,,0
12196,simple,120000140,BOQUILLA CHICA N PA5 PARPEN X1,1,0,visible,,"<div>\n<div>BORDURA-VOLADO</div>\n</div>",,,taxable,,1,85,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-PA5-PARPEN-X1-0120000140.png,,,,,,,,,0
12197,simple,120000141,BOQUILLA CHICA N R0 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,24,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R0-PARPEN-X1-0120000141.png,,,,,,,,,0
12198,simple,120000142,BOQUILLA CHICA N R1 PARPEN X1,1,0,visible,,"<div>\n<div>RIZADO FINO</div>\n</div>",,,taxable,,1,32,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/04/BOQUILLA-CHICA-N-R1-PARPEN-X1-0120000142.png,,,,,,,,,0
12199,simple,120000143,BOQUILLA CHICA N R2 PARPEN X1,1,0,visible,,<div><div>RIZADO FINO</div></div>,,,taxable,,1,32,,0,0,,,,,1,,,"2798,21",Reposteria > Utensilios,,,https://chocolatemisionero.com/wp-content/uploads/2022/06/boquilla-chica-nro-r2-parpen-0120000143-1.jpg,,,,,,,,,0
