ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
27495,simple,117000654,PLACA MOLDEO COD A 906 PK,1,0,visible,,<div><div>TABLETA</div></div>,,,taxable,,1,273,,0,0,,,,,1,,,"668,86",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27496,simple,117000655,PLACA GAUDI 1790H PK,1,0,visible,,<div><div></div></div>,,,taxable,,1,4,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27497,simple,117000656,PLACA GAUDI 1849H PK,1,0,visible,,<div><div></div></div>,,,taxable,,1,13,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27498,simple,117000657,PLACA GAUDI 1611H PK,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27499,simple,117000658,PLACA GAUDI 1827H PK,1,0,visible,,<div><div></div></div>,,,taxable,,1,1,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27500,simple,117000659,PLACA GAUDI 1837H PK,1,0,visible,,<div><div></div></div>,,,taxable,,1,24,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27501,simple,117000660,PLACA GAUDI 1703H PK,1,0,visible,,<div><div></div></div>,,,taxable,,1,1,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27502,simple,117000661,PLACA GAUDI 1731H PK,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27503,simple,117000662,PLACA GAUDI 1920H PK,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"2438,32",Reposteria > Placas De Moldeo,,,,,,,,,,,,0
27505,simple,118000040,MIX TAPITA ALFAJOR LEDEVIT,1,0,visible,,"<div>\n<div>X250G</div>\n</div>",,,taxable,,1,12,,0,0,,,,,1,,,"1288,26",Reposteria > Premezcla,,,,,,,,,,,,0
27506,simple,118000041,MIX CAKE CHOCOLATE KEUKEN X3KG,1,0,visible,,<div><div></div></div>,,,taxable,,1,1,,0,0,,,,,1,,,"13447,63",Reposteria > Premezcla,,,,,,,,,,,,0
27507,simple,118000042,MIX CAKE VAINILLA KEUKEN X3KG,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"8994,98",Reposteria > Premezcla,,,,,,,,,,,,0
27508,simple,118000043,MIX BROWNIE KEUKEN X3KG,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"11953,44",Reposteria > Premezcla,,,,,,,,,,,,0
27509,simple,118000044,PAN DE QUESO KEUKEN X3KG,1,0,visible,,<div><div></div></div>,,,taxable,,1,2,,0,0,,,,,1,,,"15180,88",Reposteria > Premezcla,,,,,,,,,,,,0
27510,simple,118000045,BIZCOCHUELO S/TACC VAIN ARCOR,1,0,visible,,<div><div>X500G</div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"1656,85",Reposteria > Premezcla,,,,,,,,,,,,0
27511,simple,118000046,BIZCOCHUELO S/TACC CHOCO ARCOR,1,0,visible,,<div><div>X500G</div></div>,,,taxable,,1,24,,0,0,,,,,1,,,"1656,85",Reposteria > Premezcla,,,,,,,,,,,,0
27512,simple,118000047,PREMEZCLA PIZZA SIN TACC ARCOR,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"1329,72",Reposteria > Premezcla,,,,,,,,,,,,0
27513,simple,119000016,LECHE ENTERA MILKAUT X1L,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"204,76",Reposteria > Saludables,,,,,,,,,,,,0
27514,simple,120000527,SOPLETE REGARCABLE CA,1,0,visible,,<div><div>C/ENCENDEDOR ELECTR</div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"8852,46",Reposteria > Utensilios,,,,,,,,,,,,0
27515,simple,120000528,BATIDOR SILIC 25CM LWC,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"1761,68",Reposteria > Utensilios,,,,,,,,,,,,0
27516,simple,120000529,BOWL ACERO INOX 18CM LWC,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"3884,22",Reposteria > Utensilios,,,,,,,,,,,,0
