ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición
18606,simple,205001121,MANTEL MONSTER HIGH OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18607,simple,205001122,MANTEL MONSTER UNIVER OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18608,simple,205001123,MANTEL PAW PATROL OTERO,1,0,visible,,"<div>\n<div></div>\n</div>",,,taxable,,1,13,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18609,simple,205001124,MANTEL PEPPA PIG OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,0,0,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18610,simple,205001125,MANTEL PHINEAS Y FERB OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18611,simple,205001126,MANTEL PIRATAS OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,1,28,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18612,simple,205001127,MANTEL PJ MASK OTERO,1,0,visible,,<div><div></div></div>,,,taxable,,0,,,0,0,,,,,1,,,"2951,14",Cotillón > Infantil,,,,,,,,,,,,0
18613,simple,907000001,MANTEL PLAST EMOJI IMAG,1,0,visible,,<div><div>RECT 1.2X1.8M</div></div>,,,taxable,,1,9,,0,0,,,,,1,,,"1181,13",Descartables > Servilletas y Manteles,,,,,,,,,,,,0
18614,simple,907000002,MANTEL PLAST FLUO AMARILL IMAG,1,0,visible,,<div><div>RECT 1.2X1.8M</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"1539,05",Descartables > Servilletas y Manteles,,,,,,,,,,,,0
18615,simple,907000003,MANTEL PLAST FLUO FUCSIA IMAG,1,0,visible,,<div><div>RECT 1.2X1.8M</div></div>,,,taxable,,0,,,0,0,,,,,1,,,"1539,05",Descartables > Servilletas y Manteles,,,,,,,,,,,,0
